student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
175,6.1,98,7.7,80.6,B
176,16.2,59.7,3.8,65,D
177,26.1,82.5,6.1,86,B
178,16.1,79.4,8.7,86,B
179,14.2,90,5.5,80.2,B
180,17,67.5,9,74.7,C
181,24.1,79,5.9,82.6,B
182,16.5,83.8,6.7,73.9,C
183,12.1,97.8,5.3,80.5,B
184,22.7,89,6.3,91.6,A
185,18,70.8,6.4,73.1,C
186,25.8,79.2,2.8,76.8,C
187,16.3,95.6,5.1,80.8,B
188,6.4,70.6,3.5,67.2,D
189,5.4,84.1,5.2,75.7,C
190,26.6,84.9,4.4,87.1,B
191,27.1,80.4,8,85,B
192,13.7,100,8,85.9,B
193,12.3,80,7.1,82,B
194,25.2,90.4,3.5,84.7,B
195,7.3,75.8,5.8,70.1,C
196,8.7,91.3,3.3,74.1,C
197,19.5,95.4,5.7,81.2,B
198,12.2,77.9,7.3,79,C
199,15,84.3,8,83.7,B
200,13.9,74.3,6.9,69.5,D
201,17.4,71.3,8.5,74.9,C
202,24.9,97.4,6.5,88.6,B
203,15.6,78.4,5.5,78.8,C
204,19.5,56,7.7,71.8,C
205,0.6,100,7.8,77.1,C
206,14.7,75.4,5,73.5,C
207,9.1,82,6.8,74.7,C
208,6.5,100,5.4,78.8,C
209,8.9,83.3,2,69.8,D
210,12.7,83,6.9,77.6,C
211,21.4,70.3,3.4,76.4,C
212,5.7,65.4,6.7,66.5,D
213,15.2,83,2.9,74.2,C
214,11.6,89.4,4.6,75.1,C
215,12.7,88.7,5.1,83.3,B
216,22,79.2,8.4,83.8,B
217,18.8,85.2,4.9,84.8,B
218,24.4,63,3.9,73.5,C
219,13.9,90.5,6.7,83.5,B
220,10.1,86.9,5.6,80.9,B
221,13.4,100,7.6,84.2,B
222,16.7,85.1,4,75.9,C
223,16.2,73.7,6.4,75.1,C
224,7.4,84.4,10,77.9,C
225,15.6,81.1,5.5,78.5,C
226,16.6,90.2,6.4,82.5,B
227,32.6,85.3,2.7,87.1,B
228,28.1,69.9,4.3,87.3,B
229,9,65.4,6.9,68,D
230,13,88.2,5.3,76,C
231,4.8,100,7.2,80.7,B
232,10.9,86,6.8,79.9,C
233,17.2,94.8,3.4,85.3,B
234,23.4,97.2,8,98,A
235,9.9,88.2,3.5,74.4,C
236,10.4,75.2,4.5,69.4,D
237,0,87.3,6.5,63.5,D
238,13.9,99.5,9.1,84.4,B
239,7.6,91.4,4,74,C
240,11.3,94,6.3,76.3,C
241,8.9,79.4,6.3,68.1,D
242,14.3,82.6,7.3,79.5,C
243,2.7,83.6,8.4,74.5,C
244,4.7,84.4,5.2,69.4,D
245,29.9,99,8,100,A
246,6,56.8,8.7,67.2,D
247,7.3,85.4,9.6,81.2,B
248,27.9,84,7,96.1,A
249,35.3,68.5,6.3,96.6,A
250,6.8,93.1,5.1,76.9,C
251,12.4,76.3,3.1,69.1,D
252,17.4,80.7,5.4,78.8,C
253,27.1,100,6.2,98.5,A
254,8.1,97.1,5.8,75.3,C
255,13.3,91.9,7.2,86,B
256,20.4,89.6,3.1,80.8,B
257,18,83,5.6,80.9,B
258,12.4,100,10,84.8,B
259,14.1,94.6,8,80.2,B
260,5.4,76,7.2,69.2,D
261,13.3,68.2,6.8,76.6,C
262,13.1,91.8,5.3,77.1,C
263,16.6,84.3,2.5,80.7,B
264,11.1,67.9,6.9,69.3,D
265,18.3,90.1,1.1,74.3,C
266,22.1,81.8,5.3,83.2,B
267,16.1,91.4,6,84.2,B
268,17.5,90.3,5.1,82.3,B
269,15.4,77.7,10,82,B
270,15,92.6,9.6,91,A
271,9.9,79,8.1,75.9,C
272,17.2,79.8,4.1,75.2,C
273,14.3,78.6,9.8,77.5,C
274,29.7,98.6,7.2,100,A
275,26,81.6,4.1,82.6,B
276,17.7,100,6.1,85.6,B
277,9.7,100,7.9,85.9,B
278,7.2,76.1,4.8,74.7,C
279,23.3,49.9,6.3,73.8,C
280,16.8,97.5,6.6,85.3,B
281,18.4,80.9,3.8,77.4,C
282,2.8,74.6,5.5,64.1,D
283,21.5,77.9,3.9,77.8,C
284,18.2,80,7.7,80.7,B
285,7.2,100,4.2,79.2,C
286,11.7,86.9,6.6,77.7,C
287,16.8,100,3.2,86.6,B
288,15.4,90.9,3.7,78.4,C
289,13,81.3,3.6,72.2,C
290,14.3,80.3,5.4,80,B
291,13.2,91.7,6.4,80.7,B
292,16.1,94.8,6.7,83.9,B
293,25.3,97,2.5,86.9,B
294,0,81.9,5.7,70.7,C
295,13.3,87.1,4.5,77.7,C
296,16.2,92,7.1,87.5,B
297,17.1,80.4,5.5,77.6,C
298,12.4,71.4,5.8,75.3,C
299,2.7,75.3,4.5,65.3,D
300,17.3,82.1,9.4,86.5,B
301,27.1,92.9,3.4,90.8,A
302,4.3,100,5.2,72.6,C
303,21,68.7,6.2,78.2,C
304,12.7,77.8,5.5,77,C
305,14.6,80.7,4.5,78.7,C
306,7.6,94.5,2.4,76.4,C
307,12.7,78.7,4.6,73.7,C
308,24.1,79.8,4.1,86.3,B
309,19.1,68.1,9.4,78.1,C
310,27.1,90.8,10,90.5,A
311,23.2,83.1,5.9,83.6,B
312,18.1,77.2,3.2,78.7,C
313,27.2,81.9,7.5,85.6,B
314,18.1,98.5,4,79.5,C
315,20.8,72.9,4.9,72.6,C
316,12.9,74.9,4.7,74.6,C
317,15.5,100,5,79.3,C
318,10.1,85.9,5.3,76.5,C
319,21.9,93,3.4,83,B
320,6.8,89.8,4.6,70.6,C
321,20.5,84.6,8,82.5,B
322,13.7,80.8,5.9,77.1,C
323,23.2,95,6.3,86.8,B
324,20.3,98.9,1.5,82.6,B
325,27.7,98,7.9,96.8,A
326,20.1,70.8,4.6,78,C
327,4,100,8.2,81.7,B
328,14.5,80.7,6.3,78,C
329,6.8,75.9,4.9,65.1,D
330,11.4,83,2.6,73,C
331,25.6,95,10,97.3,A
332,19.5,91.5,7.6,86.1,B
333,10.1,81.9,7.7,75.5,C
334,7.9,95.1,9.6,89.1,B
335,15.2,86.7,6.4,76.5,C
336,6.5,78.1,8.7,74.9,C
337,10.3,76.5,5,74.5,C
338,17.2,89.9,7.5,83.2,B
339,23.1,84,4.7,82.7,B
340,19.3,68.5,5,73.9,C
341,0,95.2,6.2,71.7,C
342,17.1,79.2,3.5,78.2,C
343,15.5,100,6.7,85,B
344,17.9,68.2,5.4,83.7,B
345,26.3,82.8,2,80.6,B
346,0.6,76.6,5.1,68.2,D
347,10.9,73.3,5.3,72.5,C
348,19.1,79.2,7.7,82.4,B
349,3.9,100,6.6,81.2,B
350,25.3,86.7,8.9,86.1,B
351,17.6,75.5,7,80.1,B
352,20.9,63.1,4.9,72.1,C
353,11,64.3,5.9,67.2,D
354,20.7,78.6,5.3,78.7,C
355,22.5,77.4,7,80.2,B
356,16.6,82.3,6.1,74.5,C
357,16.6,57.7,4.7,70.1,C
358,16.9,83.9,6,79.9,C
359,9,97.3,6.9,79.2,C
360,14,100,4,83.5,B
361,13.9,62.3,6.6,72.2,C
362,17.7,75.4,2.8,73,C
363,22,74.7,8.2,92.4,A
364,7.6,86.7,7.1,78.4,C
365,14.1,70.4,9.3,84.4,B
366,25.4,100,3.8,88.3,B
367,9.8,85.5,8.3,78.8,C
368,9.2,83.5,7.9,72.7,C
369,16.4,100,5.6,84.1,B
370,20.9,84.8,5.2,80.8,B
371,15.1,89.8,3.8,87.2,B
372,24.3,76,3.3,77.5,C
373,21,68.6,4.5,75.1,C
374,20.9,77.7,3.5,73.5,C
375,18.9,100,9.2,92.8,A
376,31.3,92.6,3,87.7,B
377,13.6,88.3,6.3,82.3,B
378,1,73.3,6.9,60,D
379,26.2,95.9,6.7,91.9,A
380,11.8,68.7,6.9,66.3,D
381,15.8,66.2,7.9,73.6,C
382,24.2,78.3,5.1,81.6,B
383,3.8,100,6.2,74.5,C
384,6.2,100,5.4,75.7,C
385,3.8,79.6,8.6,74.7,C
386,9.4,76.9,10,83.3,B
387,18.1,65.3,3.6,72.4,C
388,18.7,85.9,1.9,74.7,C
389,16.9,86.9,7.1,82.8,B
390,5.1,94.5,8.1,76.5,C
391,0,95.9,9.9,79.1,C
392,15.4,82.6,7.5,81.1,B
393,11.7,91.7,8.8,77.6,C
394,18.2,76.6,9.3,85.7,B
395,19.9,91.4,8.9,91.5,A
396,16,78.9,7.8,84.2,B
397,20.3,90.5,3.4,80.4,B
398,16.6,89.5,6,82.8,B
399,18.7,85.8,6.6,79.3,C
400,10.1,94.5,5.8,78.4,C
401,13.7,66.2,5.9,72.4,C
402,16.4,72.2,9.1,77.3,C
403,20.7,81.8,4.5,81.4,B
404,12.2,67.7,7.6,73.2,C
405,18.6,80.1,6.6,79.4,C
406,13.1,80.5,4.3,78.2,C
407,14.2,100,3.8,80.5,B
408,20.8,86.7,2.6,80.3,B
409,1,97.4,7,69.8,D
410,5.9,88.6,5.9,75,C
411,4.6,78.6,4.3,65.5,D
412,0,86.6,2.2,66.7,D
413,10.3,93.8,6.9,75.7,C
414,20.2,99.3,5.7,89,B
415,13,83.4,4.6,68.7,D
416,16.4,65.2,4.1,72.5,C
417,22.6,64.4,5.5,76.3,C
418,24.3,81.1,6.9,86.9,B
419,14.5,56.9,5.3,66,D
420,24.5,100,3.6,85.9,B
421,15.6,92.2,5.9,80.7,B
422,9.1,77.4,8.1,75,C
423,10.8,71.7,6.1,73,C
424,4.6,97.3,6.1,76.8,C
425,8.8,71.6,5.3,66,D
426,12.5,72.8,4.2,76.1,C
427,20.6,75.8,4.2,78.7,C
428,27,86.4,2.7,82.7,B
429,5.3,92.4,8.4,78.6,C
430,17.7,99.3,6.9,88.1,B
431,7.7,97.5,6.2,77.8,C
432,18.3,85,6.6,81.4,B
433,14.1,97.2,6.7,86.5,B
434,2.2,76.9,4.5,70,C
435,21.5,63.1,5.3,69.2,D
436,10.8,76.9,5.1,75.5,C
437,11.3,75.3,10,77.6,C
438,7.5,77.4,8,73.9,C
439,10.4,73.5,6.3,75.9,C
440,18,79.5,8.7,74.6,C
441,13.7,92.4,8.5,86.2,B
442,17.3,100,3.2,86.7,B
443,17.5,64.3,5.6,70.9,C
444,24.2,69.5,6,76.2,C
445,12.6,75.5,7.2,80.2,B
446,4.7,94.2,5.6,68.8,D
447,22.5,82.5,5.8,84.8,B
448,12.7,76.3,5.1,76.1,C
449,22.8,93.6,8.1,91.7,A
450,17.7,96.5,3.1,83.4,B
451,14.1,84.8,5.1,76.5,C
452,17.4,75.2,2.3,74.3,C
453,28.7,88.2,3.9,85.9,B
454,29.5,82.2,6.6,88,B
455,15.5,82.1,6.7,79.3,C
456,16.1,78.9,5.4,72.3,C
457,22.5,96.1,8.2,93.1,A
458,9.1,88,8.7,71.5,C
459,17.3,97.4,5.9,86.2,B
460,14.8,100,6.5,86.3,B
461,17.2,90.5,5.1,79.2,C
462,9.2,78.9,7.3,70.3,C
463,3.9,97.5,3.6,71.1,C
464,0.5,90.6,9.6,76.4,C
465,7.2,100,8.3,82.4,B
466,11.8,88.7,3.6,71.8,C
467,12.9,93.4,4.4,78.9,C
468,28.6,88.5,6.8,92.3,A
469,22.7,83.8,5.3,84.3,B
470,8.3,81.9,7.1,71.2,C
471,17.4,88.5,5.3,81.8,B
472,12.2,91.3,9,85.6,B
473,13,98.9,6,84.2,B
474,16.3,88.7,10,87.4,B
475,19.3,79.4,7.2,86.7,B
476,12.6,81.1,3.3,73.1,C
477,22.4,69.1,10,81.2,B
478,7,100,8.2,78.6,C
479,15,78.5,6.8,78.2,C
480,33.2,96.6,7.3,94.1,A
481,16.6,88.3,3.6,77.6,C
482,25,88.6,2.4,84.9,B
483,15.6,83.6,5.9,82.4,B
484,19.1,75.5,8.8,77.4,C
485,14.6,73.4,6.8,75.8,C
486,13.8,100,9.4,87.5,B
487,9.5,86.4,8.6,78.7,C
488,18,98.5,6,86.6,B
489,9,100,8.4,82.7,B
490,19.7,80.1,9,88.6,B
491,22.6,90.1,5.8,90.1,A
492,17.6,85.5,5.6,87.1,B
493,13,71.1,6.3,72.9,C
494,18.2,82.8,1.2,73.6,C
495,12.8,92.1,6.6,77.7,C
496,21.5,79,7.4,82,B
497,2.2,81.1,6.3,70.5,C
498,12.7,82.9,6.7,80,B
499,1.1,100,5.9,75.9,C
500,4.5,63,2,56.5,F
501,24.5,91,9.3,90.4,A
502,21.3,82,5.3,87.6,B
503,10,77.3,4.8,68.5,D
504,4.5,81.7,8.7,77.5,C
505,0,93,8,74.2,C
506,11.2,93.7,6.5,77.8,C
507,31.9,87.2,7.5,90.9,A
508,18,98.1,3.7,81.2,B
509,11.1,100,5.8,82.6,B
510,18.3,94.8,8.6,85.4,B
511,4.1,78.4,4.6,71.5,C
512,12.9,90.9,4,76.6,C
513,15.7,91,6.2,84,B
514,14.4,75.2,6.2,77.2,C
515,20.5,66.2,7.3,82.8,B
516,17.4,60.7,3.2,67.5,D
517,19.7,85.8,0.9,77.1,C
518,10.2,88.6,7.8,74.7,C
519,21.3,70.8,3.8,76.4,C
520,26.4,97.6,4.8,94.1,A
521,8.2,86.8,1.6,70,C
522,8.8,100,8,89.2,B
523,24.4,89.4,6.7,90.1,A
524,13.7,72.2,6.6,72.6,C
525,24.8,90.5,6.6,90.5,A
526,11.9,93,1.9,70.3,C
527,25.2,78.4,4,79.6,C
528,15.9,67.7,5.1,68.8,D
529,16.8,86.2,4.5,79.1,C
530,26,73,5.5,82.1,B
531,12.5,98.5,6.5,86.2,B
532,8.4,80.1,8,74.5,C
533,11.9,100,3,75.5,C
534,18.2,59.5,6,76.9,C
535,4,86.6,7.4,64.3,D
536,19.5,100,4.2,85.7,B
537,11.2,74.3,5.6,72.6,C
538,23,83.1,6.9,85.5,B
539,0,80.2,6,67.6,D
540,9.5,76.8,7.3,73.9,C
541,3.2,87.9,6.2,73,C
542,9.2,69.5,5.4,66.6,D
543,16.7,83.7,3.7,72.7,C
544,13.7,91.2,6.5,80.8,B
545,13.2,82.4,6.2,74,C
546,13.9,73,4,69.3,D
547,16.4,97.4,7.2,89.4,B
548,7.9,93.8,8.5,84.6,B
549,19.9,72.5,4.7,80.1,B
550,19.6,69.5,4.5,78.1,C
551,17.7,73.6,4.5,75.3,C
552,18.9,91.5,2.6,83.3,B
553,17.1,88.3,10,87.7,B
554,29.2,94.5,5.1,97.9,A
555,14.4,81.1,4.3,72.4,C
556,12.9,73.9,3.7,72.8,C
557,9.7,96,5.2,74.3,C
558,7.8,78.4,4.6,71.6,C
559,6.3,87.2,8.9,71.6,C
560,8.8,66.4,3.5,61.1,D
561,14.5,78.2,2.9,68.7,D
562,17.3,97.1,7.1,87.2,B
563,15.4,76.4,5.8,77,C
564,9.6,94.8,5.6,85.4,B
565,21.3,57,7.1,74.8,C
566,20.2,78.3,6.3,83.2,B
567,13.9,82.9,5.9,77.8,C
568,10.4,100,3.2,79.7,C
569,18.8,71,2.7,73.3,C
570,16.3,93.1,4.6,84.6,B
571,4.9,97.7,3.8,70.3,C
572,14.5,76.3,6.5,68.9,D
573,16.8,80.5,2.4,75.7,C
574,8.7,86.7,5.1,68.5,D
575,16.3,67.2,5.7,77.2,C
576,4.8,79.5,5.9,67.7,D
577,24.4,100,6.8,89.3,B
578,23.7,91.3,5.3,95.2,A
579,13.2,83.1,4.7,75.4,C
580,17.5,86.4,8.5,83.8,B
581,0,92,5.4,71.8,C
582,6.9,94.3,8.8,82.2,B
583,12.9,78.3,5.3,77.7,C
584,7.5,100,6,74.8,C
585,20,100,5.7,89.5,B
586,29,93.1,6.5,92.1,A
587,6.8,74.9,5.2,65.5,D
588,9.1,72.8,6.2,70.6,C
589,16.6,81.1,9.1,77.1,C
590,26.3,85.7,8.1,93.1,A
591,6.4,63.8,8.1,66.7,D
592,16.7,90.9,3.3,77.8,C
593,27.7,100,3.6,90.8,A
594,3.4,91.9,6.4,72.9,C
595,6,76.9,7.5,74.7,C
596,12,75.5,5,68.9,D
597,11.4,88.6,4.6,74.8,C
598,20.7,83.2,8.8,85.3,B
599,16.7,90.3,7.4,80.7,B
600,2.6,92.2,8.1,75.3,C
601,18.6,98.1,5.1,83.2,B
602,11,71.4,5,65.7,D
603,23.9,87.7,7.9,90.6,A
604,10.6,80.6,5.5,78.2,C
605,10.5,83.8,4.8,74,C
606,18.8,95.4,4.2,83.1,B
607,20.3,96.7,5,85.7,B
608,18.1,100,7.8,87.4,B
609,3.2,90.1,3,71.9,C
610,18.8,83.7,7.3,83.2,B
611,7.8,82,4.6,64.3,D
612,16.6,64.2,5.6,75.9,C
613,5,100,5.7,79.5,C
614,18.1,81.1,5.6,81.3,B
615,9.4,91.1,5.4,68,D
616,6,93.1,5.1,74.2,C
617,20,70.1,4.9,78.7,C
618,16.7,73.9,8.6,80.6,B
619,10.7,100,6.1,81.9,B
620,25.2,88.5,5.7,90.3,A
621,11.9,78,4.7,73.1,C
622,15.2,83.5,5.2,81.3,B
623,16.9,98,4.7,84.1,B
624,10.7,96.2,7.5,81.9,B
625,18.3,67.4,4.5,76.1,C
626,11.3,100,1.5,75.1,C
627,12.1,96.6,6.1,77.9,C
628,24.5,83.2,5.4,84.9,B
629,7.7,70.7,4.8,68.8,D
630,0,97.6,7.8,77.3,C
631,26.3,90.7,0.5,85.8,B
632,32.8,67.5,9.2,89.7,B
633,12.2,82.2,8.1,77.9,C
634,1.4,100,4.7,71,C
635,12.8,85.2,5.1,77.2,C
636,13,76.1,7,70.6,C
637,13.7,72.9,7.1,75,C
638,7.2,100,4.7,85.6,B
639,19.1,95.2,2.8,77.4,C
640,18.7,100,10,92.5,A
641,4.5,88,7.9,75.7,C
642,19.9,100,6.3,90,A
643,29.4,74.8,6.4,83.7,B
644,16.2,87,7.2,83.7,B
645,12.6,88.4,7.5,78.7,C
646,14,100,1.8,74.4,C
647,19.3,88.8,5.3,85.7,B
648,2.9,77.5,5.1,68.2,D
649,16.2,85.8,5.7,76.9,C
650,12.3,64.9,7.5,70,C
651,27.9,57.1,2.4,72.7,C
652,13.8,95,3.3,73.6,C
653,26.7,80.5,4.6,86.8,B
654,7.3,81.9,6.3,74.9,C
655,19.1,95,7.7,86.7,B
656,17.2,100,9.3,90,A
657,8.9,91.4,5.4,76.5,C
658,16.2,100,7.7,88.1,B
659,23.5,91,7.4,85.2,B
660,12.7,88.6,7.1,81.4,B
661,3.2,87.9,6,67.6,D
662,14.9,69.6,5.2,74.5,C
663,8.7,96.5,3.9,72.7,C
664,12.6,55.7,3.7,60.1,D
665,14.4,78,6.7,76.8,C
666,3.1,85.3,5.9,69.9,D
667,3.7,75.5,5.2,66.5,D
668,18.4,79.6,7.3,78.5,C
669,11.3,100,5.6,81.8,B
670,0,98.2,4.2,71.3,C
671,20.5,76.8,5.5,83.1,B
672,16.9,79.4,7.6,81,B
673,10,69.7,4,65.5,D
674,5.8,93.5,6.4,71.6,C
675,20.9,82,5.9,77.6,C
676,17.4,61.4,4.5,71.5,C
677,31.7,86.2,5.4,93.7,A
678,17.9,90.3,2.9,76.7,C
679,17.7,96.6,6.2,86.3,B
680,13.8,84.1,3.3,74.1,C
681,20.7,80.5,8.1,86.5,B
682,19.4,100,5.8,90.1,A
683,23.8,85.1,4.9,77.5,C
684,11.4,93.6,8.3,85.3,B
685,12,78.5,3.9,72.7,C
686,11.6,93.3,4.5,76.1,C
687,20.5,67.5,2.3,71,C
688,25.5,79.5,8.6,88.2,B
689,11.8,70.5,9.7,74.4,C
690,12,77.7,2.7,67.4,D
691,17.2,100,4.4,82,B
692,13.3,77.7,6.1,72.2,C
693,21.7,93.6,5,90,A
694,0,100,5.9,73.3,C
695,9.2,84.7,5.8,81.1,B
696,9.5,96.9,6.8,81.3,B
697,0,91.4,4.1,69.6,D
698,8.3,86.4,6.4,71.8,C
699,8.6,94,3.8,74.2,C
700,13.6,100,5.2,82.6,B
701,22.8,77.4,2.5,76.1,C
702,13.3,73.5,5.2,71.3,C
703,7.8,72.8,4.9,69.1,D
704,14.6,96.9,7.9,86.6,B
705,22.3,98.6,5.9,85.3,B
706,8.2,78.6,6.2,72.8,C
707,8.6,59.4,6,66.6,D
708,18.9,76.9,1.7,72.2,C
709,13.4,91.6,2,73.4,C
710,19.5,84.2,5.4,82.7,B
711,14.9,87.2,6.6,72.7,C
712,19.9,78.7,5.5,79.9,C
713,7.8,97.2,4.3,80.8,B
714,14.9,89.1,5.5,72.1,C
715,13.5,92,5.3,82.2,B
716,6.5,86.9,7.6,76.9,C
717,4.1,91.3,7.4,70.5,C
718,19.8,90.5,4.9,84.9,B
719,12.5,73.9,5.9,76.1,C
720,7.8,89.5,6.6,72.4,C
721,14.3,94.5,6.8,80.9,B
722,22.9,98.9,9.3,94,A
723,0,90,5.9,72.5,C
724,4.5,73.4,8.3,68.2,D
725,8.5,75.3,3.7,67.8,D
726,25.2,79.8,4.7,81.3,B
727,17,87.3,1.7,76.3,C
728,20.4,83.5,6.3,86.1,B
729,7,71.5,7.3,70.1,C
730,7.2,71.4,0.9,61.1,D
731,18.1,59.8,6.4,72.7,C
732,15.4,47.6,7.2,64.9,D
733,18.8,83.4,7.1,79.7,C
734,13.7,100,3.6,84.2,B
